	x	y	z	pitch	roll	yaw
	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00
	-3.3861979e-03	 2.2949365e-02	 3.2762623e-02	-4.1265095e-04	 2.9339178e-04	-4.7565086e-04
	 1.1064203e-02	 2.0064453e-02	 4.6799435e-02	 3.0639291e-04	 2.2665892e-04	-4.5004148e-04
	 3.6784505e-02	 2.4778597e-02	 4.5526623e-02	 4.8331846e-04	 9.2114962e-04	 2.8525370e-04
	 3.1705576e-02	 1.3438201e-02	 2.5341682e-02	 4.4026150e-04	 3.7282551e-04	 2.0403132e-04
	 3.6318596e-02	-2.8115694e-02	-2.1085498e-03	 7.9051073e-04	 5.3731364e-05	 2.1179257e-04
	 2.9889425e-02	 9.5343502e-03	 8.0795411e-03	 8.2056490e-04	 1.9631534e-04	 2.7046850e-04
	 2.3822400e-02	 1.6480196e-02	-2.7664250e-03	 7.5386838e-04	 8.9824843e-05	 4.4560445e-05
	 2.4930007e-02	-9.9418564e-03	-3.0212941e-02	 9.2799420e-04	-2.1168137e-04	 7.0600857e-05
	 2.7640012e-02	 6.2200451e-03	-4.1626181e-02	 5.5006991e-04	-2.3288283e-04	 2.1989458e-04
	 2.5826312e-02	 3.7234472e-02	-3.5272046e-03	 1.5760047e-04	-5.1436432e-05	 1.9176233e-04
	 2.7165250e-02	 8.4062293e-03	-1.7967466e-02	 4.5614764e-04	-1.8125470e-04	 2.2689270e-04
	 2.0784506e-02	 6.1039501e-03	-4.2223593e-02	 4.2889191e-04	-2.3411520e-04	 2.9425694e-04
	 2.8976968e-02	 3.5781694e-02	-2.7598585e-02	 9.0839589e-04	-3.0550330e-04	 3.8972234e-04
	 3.0175078e-02	-3.7977866e-04	-4.1339534e-02	 1.0191493e-03	-2.6943747e-04	 5.4481601e-04
	 3.1193225e-02	 3.3169992e-02	-2.2054503e-02	 9.5715817e-04	-4.7573660e-04	 6.0705006e-04
	 3.6521991e-02	 1.3405092e-03	-4.0970267e-02	 1.0369426e-03	-5.0505269e-04	 6.0981478e-04
	 3.2926372e-02	 6.1653965e-03	-3.3834880e-02	 9.9861378e-04	-4.2776372e-04	 6.7823122e-04
	 2.8334238e-02	 2.5095750e-03	-2.5915805e-02	 1.0712439e-03	-7.4401560e-04	 6.0637274e-04
	 2.9078367e-02	 2.9965446e-02	-1.3651240e-02	 5.9312158e-04	-6.9209002e-04	 5.5738745e-04
	 2.7100553e-02	 1.7214507e-02	-1.5330303e-02	 9.4204796e-04	-5.8377872e-04	 5.3761543e-04
	 3.1580835e-02	-8.3331775e-03	-5.9773820e-02	 9.7136977e-04	-6.2402126e-04	 5.3881292e-04
	 3.1946786e-02	 4.9693136e-02	-3.0439007e-02	 1.0789861e-03	-3.1958619e-04	 6.7986538e-04
	 2.7330521e-02	-1.2168830e-02	-4.4193300e-02	 7.9040348e-04	-3.5680198e-04	 3.8484186e-04
	 2.5077508e-02	 5.6591820e-02	-2.1202988e-02	 9.3810456e-04	-4.1382540e-04	 4.5802937e-04
	 2.4125574e-02	 3.5361060e-03	-4.6001875e-02	 1.5363127e-03	-4.8104750e-04	 3.4697827e-04
	 3.0586237e-02	 1.4192381e-02	-6.8957724e-02	 1.3193142e-03	-3.1882318e-04	 5.0394538e-04
	 3.4866298e-02	 6.4428746e-02	-3.9332164e-02	 9.9622888e-04	-8.0619536e-05	 5.8162408e-04
	 4.2071663e-02	 1.5261064e-02	-5.1555658e-02	 1.5933008e-03	-2.7994613e-04	 5.9236876e-04
	 4.5537455e-02	 2.1028685e-02	-7.3921732e-02	 1.1654355e-03	-1.2906348e-04	 7.1107813e-04
	 5.0563878e-02	 4.4059546e-02	-4.1043699e-02	 1.2889081e-03	-2.2382965e-05	 7.4203310e-04
	 3.7587386e-02	-9.1047079e-03	-7.5906326e-02	 1.9448447e-03	-2.8268054e-04	 4.8984732e-04
	-1.1437244e-02	 2.7926580e-02	-6.2041760e-02	 1.7113367e-03	-3.6394684e-04	-4.1588298e-04
	-6.5126479e-02	 1.4575287e-02	-5.3431510e-02	 1.7270307e-03	-7.8633796e-04	-1.7344947e-03
	-1.4384625e-01	 2.6721054e-02	-4.0521616e-02	 1.7905918e-03	-4.6411003e-04	-3.4861929e-03
	-2.1449933e-01	-3.7742795e-03	-7.3013460e-02	 1.9466249e-03	-7.3950542e-04	-5.1118018e-03
	-2.6057990e-01	-2.2509689e-02	-9.0642152e-02	 2.3905547e-03	-1.0570650e-03	-6.0343026e-03
	-2.9165176e-01	-2.6893908e-02	-1.1051089e-01	 2.3871394e-03	-1.1072059e-03	-6.6058060e-03
	-3.1553271e-01	-2.4940544e-02	-1.2317669e-01	 2.5775089e-03	-9.2751384e-04	-7.1047638e-03
	-3.6439478e-01	 2.3628742e-03	-8.9433125e-02	 2.5709786e-03	-1.0106155e-03	-8.4780797e-03
	-4.8672765e-01	-1.3674069e-02	-8.2578291e-02	 2.2387678e-03	-5.9646356e-04	-1.1478959e-02
	-5.4737762e-01	-4.6565562e-02	-1.2369401e-01	 2.1727132e-03	 6.6167834e-06	-1.2481163e-02
	-4.7323722e-01	-3.1040831e-03	-8.6860625e-02	 1.9918464e-03	 8.9323746e-04	-1.1698618e-02
	-4.4432452e-01	-8.4363610e-02	-1.1908837e-01	 2.2162717e-03	 7.0958772e-04	-1.1203002e-02
	-4.1640649e-01	 4.4708294e-02	-7.2693474e-02	 2.0171630e-03	 5.4894669e-04	-1.0485209e-02
	-3.8509783e-01	-1.6697644e-02	-1.0015399e-01	 2.9847660e-03	 2.2795433e-04	-1.0315240e-02
