	x	y	z	pitch	roll	yaw
	 0.0000000e+00	-1.6703506e-14	 0.0000000e+00	 6.1629758e-33	-1.0691059e-50	-1.7347235e-18
	-2.0881052e-02	-6.2298374e-02	-2.9773076e-02	 2.7526371e-04	 1.9489667e-05	-2.2980565e-04
	-8.1096031e-03	-3.1631646e-02	-3.2002717e-02	 5.2150048e-04	-2.0842015e-05	 6.6839154e-05
	-2.4996306e-02	 2.0275104e-02	-5.1061117e-02	-3.5020731e-04	-6.3747189e-05	-2.2046871e-04
	-2.0339625e-02	 1.5408720e-02	-4.3790586e-02	-6.8857970e-05	-3.1575174e-04	-7.9210044e-06
	-1.4695546e-02	-4.1380978e-02	-4.5973863e-02	 2.7185905e-04	-3.3837540e-04	 6.1137500e-05
	-1.1596595e-02	 5.3682621e-03	 7.6781962e-03	 1.2981238e-04	-5.5795493e-04	 3.5829912e-04
	-1.1109742e-02	-3.7754532e-02	 5.0641736e-03	 3.3137178e-06	-7.5168834e-04	 4.6394654e-04
	-1.5634157e-03	-4.0372321e-03	 1.8382596e-02	-6.0512176e-04	-7.2283418e-04	 6.0796444e-04
	 6.2410587e-03	-3.5124240e-02	 1.7148155e-02	-4.3510884e-04	-1.1161615e-03	 6.2953855e-04
	-1.4547911e-02	-4.2179149e-02	 2.4126610e-02	-5.5608603e-04	-1.3407357e-03	 2.5999553e-04
	-1.0355932e-02	-5.1963571e-03	 3.2954074e-02	-5.8605042e-04	-1.5631707e-03	 2.9877972e-04
	-3.3914691e-02	-4.2481670e-02	 3.1090436e-02	-6.7004877e-04	-2.0624283e-03	-1.9233948e-05
	-1.8471729e-02	-2.6268955e-02	 2.7095019e-02	-6.4895920e-04	-2.4136089e-03	 4.0247946e-04
	-2.0929817e-02	-2.1328438e-02	 1.6431300e-02	-1.6009956e-04	-2.7985302e-03	 3.8295845e-04
	-1.9246669e-02	-1.9526847e-02	 3.5922880e-02	-4.4045583e-04	-2.8965351e-03	 4.7279686e-04
	-1.0892450e-02	 9.5711423e-03	 6.4679156e-02	-8.3919719e-04	-2.8284035e-03	 6.0100591e-04
	-8.6786414e-03	-5.5177289e-02	 4.3626692e-02	-8.9850460e-04	-2.8062720e-03	 7.1085496e-04
	 1.1209354e-02	-1.3555187e-02	 6.5152962e-02	-1.1102969e-03	-2.8475147e-03	 1.0668951e-03
	 2.4198611e-02	-4.3033544e-02	 5.9619717e-02	-1.1703561e-03	-2.6994102e-03	 1.3206133e-03
	 1.6263981e-02	-4.1027355e-02	 2.9417048e-02	-9.4862107e-04	-2.9976168e-03	 1.2260543e-03
	 1.6906448e-02	-8.0744839e-03	 4.6308737e-02	-1.6381722e-03	-2.8570767e-03	 1.2665732e-03
	-7.8448552e-03	-5.1451592e-02	 1.6469943e-02	-1.2358854e-03	-3.1003329e-03	 8.0990760e-04
	-5.7918301e-02	-6.5516735e-02	-1.9285244e-02	-1.3999163e-03	-3.5666516e-03	 1.3004023e-04
	-6.3515078e-02	 1.8924779e-02	-2.4634749e-03	-1.7744724e-03	-3.5039180e-03	 6.4914044e-05
	-5.1889479e-02	-6.8018965e-02	-5.0123160e-02	-1.7218648e-03	-3.2471087e-03	 2.7233457e-04
	-5.5145644e-02	 3.4659353e-03	-4.4064176e-02	-2.4251777e-03	-3.3504348e-03	 1.8499727e-04
	-2.5042190e-02	-5.1810524e-02	-1.3892696e-01	-9.1191983e-04	-3.4554501e-03	 7.7081006e-04
	-1.4949023e-02	-2.5304146e-02	-8.2143849e-02	-1.0552980e-03	-3.4002165e-03	 1.0756444e-03
	-1.4824531e-02	-8.6570786e-02	-9.1985143e-02	-5.3119949e-04	-3.6708658e-03	 1.1669766e-03
	-1.1757926e-02	-3.5182419e-02	-3.1695312e-02	-1.4646612e-03	-3.4102054e-03	 1.2074877e-03
	 3.7854920e-03	-8.3690627e-02	-5.4014810e-02	-1.0652708e-03	-3.4977663e-03	 1.4239626e-03
	 1.1106340e-02	-5.9084775e-02	-2.2900335e-02	-1.4543179e-03	-3.5968974e-03	 1.5997735e-03
	 2.2960039e-02	-1.1238326e-02	-2.3216988e-03	-1.3192411e-03	-3.4445595e-03	 1.7071934e-03
	 2.3997395e-02	-2.8805658e-02	-4.0584037e-02	-1.0282601e-03	-3.1184255e-03	 1.8002110e-03
	 3.7264338e-02	-2.8217866e-03	-3.5772690e-02	-5.8536141e-04	-3.2786130e-03	 1.8985777e-03
	 4.6360417e-02	-1.0562667e-02	-3.4652986e-02	-1.0009771e-03	-2.9811868e-03	 2.1905458e-03
	 5.7441318e-02	 1.7377117e-02	-1.8561006e-02	-9.6040656e-04	-2.8749289e-03	 2.3324582e-03
	 5.0013889e-02	-5.8281681e-03	-2.9060760e-02	-1.1177777e-03	-2.7182045e-03	 2.0417177e-03
	 4.7716908e-02	-3.0484905e-02	-3.5061971e-02	-1.0154346e-03	-2.9784674e-03	 2.0348558e-03
	 5.2834332e-02	 1.3628248e-02	 1.6611192e-03	-1.1395547e-03	-2.9280079e-03	 2.1493093e-03
	 4.6786159e-02	-6.6414614e-03	-2.1273527e-02	-1.1821948e-03	-2.8795743e-03	 2.0066783e-03
	 3.3215717e-02	-3.7669434e-02	-5.8574120e-02	-1.2028190e-03	-3.1511856e-03	 1.7824238e-03
	-2.7997885e-03	 3.3249777e-02	-4.4875174e-02	-1.1488172e-03	-3.2642245e-03	 1.3289455e-03
	 7.9107675e-03	-6.1656236e-02	-7.8039706e-02	-1.3083776e-03	-3.2545694e-03	 1.7128717e-03
	 2.8776748e-02	 3.4623755e-04	-5.6735025e-02	-9.9970619e-04	-3.1951867e-03	 1.9419769e-03
