	x	y	z	pitch	roll	yaw
	 1.3326913e-14	 0.0000000e+00	 0.0000000e+00	 2.6727647e-51	 2.0590230e-84	 7.7037198e-34
	 1.6673577e-02	-3.3114898e-02	-3.8721292e-02	 3.6247338e-04	 2.2358879e-04	 5.4280998e-06
	 3.0295514e-02	-3.8301087e-04	-3.5059359e-02	 3.4563168e-04	 2.9383494e-04	 2.9345451e-04
	 3.0794991e-02	-8.4413100e-03	-7.4068840e-02	 5.5529264e-04	 3.9179781e-04	 4.2114937e-04
	 2.7063454e-02	-1.6486036e-02	-8.2384729e-02	 6.6981884e-04	 3.3087774e-04	 3.5117129e-04
	 2.9029910e-02	 2.1047247e-02	-5.5019277e-02	 5.5714539e-04	 9.4735166e-05	 3.2845836e-04
	 2.3791009e-02	-2.5471381e-02	-5.9009052e-02	 4.7790846e-04	 1.8704471e-04	 2.6881189e-04
	 1.5624659e-02	 3.0096901e-02	-3.6331706e-02	 2.8584848e-04	 3.6920685e-04	 2.6013336e-04
	 2.4617849e-02	-2.6007469e-02	-6.2549381e-02	 5.2529809e-04	 2.6315116e-04	 1.9109297e-04
	 9.2010768e-03	 4.4734012e-02	-1.9076641e-02	 1.9377891e-04	 1.9170817e-04	 1.2741409e-04
	-1.6881520e-03	 8.7989174e-04	-7.6493875e-03	 3.5281682e-05	 3.6776081e-04	 1.1911742e-04
	-1.4487745e-02	 4.4100804e-02	 1.1235331e-02	-4.9240097e-04	 5.5017461e-04	 9.9385496e-06
	-4.8106606e-03	 4.8359443e-02	 1.7249783e-02	-6.8978733e-04	 3.4471333e-04	 1.3587736e-04
	 1.3122732e-02	 3.2449441e-02	-5.8241216e-03	-5.7988556e-04	 2.0135205e-04	 4.5092767e-04
	 2.1885991e-02	 3.3950731e-02	-2.5790517e-02	-6.1718381e-04	 1.0799463e-04	 6.0388860e-04
	 2.3926134e-02	 4.5721374e-02	 2.6705537e-02	-9.8786421e-04	-8.6360619e-05	 5.9109016e-04
	 3.5134724e-02	 2.0759138e-02	 4.5090177e-02	-9.5856732e-04	-1.7550057e-04	 6.9570055e-04
	 5.1976765e-02	 1.1255757e-02	 3.2991468e-02	-1.3229383e-03	-2.4318212e-04	 9.4640782e-04
	 5.0974298e-02	 3.8415807e-02	 6.7742945e-02	-1.5564621e-03	-1.7246953e-05	 1.0714670e-03
	 4.9884631e-02	 8.4758129e-03	 3.2354377e-02	-1.1863404e-03	 1.6757810e-04	 1.0175808e-03
	 6.3817937e-02	 2.8423903e-02	 5.7135286e-02	-1.5157299e-03	-6.9855942e-05	 1.1593972e-03
	 1.0086101e-01	-3.8420238e-02	 2.1509481e-02	-1.5103928e-03	-1.4392129e-04	 1.5844375e-03
	 1.1675549e-01	-4.5662920e-03	 3.1564673e-02	-8.7954867e-04	 7.2319169e-05	 1.8214387e-03
	 1.0103244e-01	 4.8089997e-02	 1.0454753e-01	-1.7562338e-03	 1.0424158e-04	 1.8258617e-03
	 8.5001234e-02	 8.7397197e-02	 1.3581944e-01	-2.1208253e-03	 2.8955608e-04	 1.8583743e-03
	 9.7596553e-02	 5.6399931e-02	 1.3356206e-01	-2.3013786e-03	 4.5123458e-04	 1.8715714e-03
	 8.3810043e-02	 9.6997270e-02	 1.8387166e-01	-2.7209489e-03	 5.6617659e-04	 1.8569353e-03
	 9.6435911e-02	 5.5733510e-02	 1.4819562e-01	-2.7050828e-03	 6.2904538e-04	 1.8457537e-03
	 9.0712226e-02	 1.1473492e-01	 2.2117663e-01	-2.9552868e-03	 6.9853106e-04	 1.8970960e-03
	 8.6141998e-02	 9.7405369e-02	 2.1758878e-01	-3.0816675e-03	 6.6779961e-04	 1.9096903e-03
	 9.9850847e-02	 7.0877228e-02	 2.2903506e-01	-2.8109462e-03	 4.6720976e-04	 2.0708585e-03
	 8.8826601e-02	 6.4615419e-02	 2.4240089e-01	-3.1142222e-03	 7.2616052e-04	 2.1152245e-03
	 6.7847612e-02	 1.1419281e-01	 2.9189047e-01	-3.7351002e-03	 7.3150650e-04	 1.9739307e-03
	 8.5973710e-02	 7.0944034e-02	 2.4092430e-01	-3.3145698e-03	 6.6396033e-04	 2.0717931e-03
	 7.0429826e-02	 8.9759870e-02	 2.3604763e-01	-3.7427654e-03	 3.4101321e-04	 2.0634694e-03
	 8.1927851e-02	 1.0300259e-01	 3.1671851e-01	-4.0156637e-03	-4.0961749e-05	 2.1950871e-03
	 8.1997273e-02	 7.1003415e-02	 3.2646246e-01	-4.4169106e-03	 3.0995915e-04	 2.2406109e-03
