	x	y	z	pitch	roll	yaw
	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00
	 4.5370210e-03	 1.0178580e-02	 2.2359268e-02	-3.3166317e-04	 1.5985563e-04	 5.3758138e-05
	 1.4424225e-02	 2.7695370e-02	 6.2932321e-02	-6.8503798e-04	-2.7426437e-05	 1.4884234e-04
	 2.3340546e-02	 3.6611138e-02	 1.1571539e-01	-1.5904612e-03	-2.1278710e-04	 4.3696196e-04
	 1.2869219e-02	 1.4388917e-01	 2.0252225e-01	-2.7681319e-03	-1.8352471e-04	 3.6051202e-04
	 1.8399284e-02	 1.1184130e-01	 2.4706313e-01	-3.7566771e-03	-2.6751595e-04	 3.4277731e-04
	 5.0129169e-02	 1.7231900e-01	 3.7084018e-01	-4.9511989e-03	-1.0950336e-03	 6.6848272e-04
	 5.9832214e-02	 2.4118653e-01	 4.7026118e-01	-6.4975202e-03	-9.9754785e-04	 9.5155102e-04
	 7.7586489e-02	 2.4501828e-01	 4.7324147e-01	-6.6115032e-03	-1.1836077e-03	 1.2508243e-03
	 7.8182647e-02	 2.6401452e-01	 5.4287768e-01	-8.1531027e-03	-1.1542688e-03	 1.2962410e-03
	 7.1201634e-02	 3.1091735e-01	 5.5637077e-01	-8.2139036e-03	-1.1941426e-03	 1.2663055e-03
	 6.4827622e-02	 3.2721396e-01	 5.2870150e-01	-8.8940841e-03	-1.3102965e-03	 1.3086185e-03
	 1.1772274e-01	 3.4852072e-01	 6.4893939e-01	-1.0384847e-02	-1.0168822e-03	 2.3724137e-03
	 1.0947762e-01	 3.5918742e-01	 6.7680904e-01	-1.1409110e-02	-4.4386346e-04	 2.3371465e-03
	 1.0287890e-01	 3.9993644e-01	 7.4715377e-01	-1.2483530e-02	-1.4810892e-04	 2.4768571e-03
	 1.1444758e-01	 3.9477579e-01	 7.4303380e-01	-1.2591707e-02	-2.8799549e-05	 2.4776329e-03
	 1.1793344e-01	 4.0461833e-01	 8.1937366e-01	-1.3614990e-02	-8.8988141e-06	 2.4944146e-03
	 1.2241679e-01	 3.9853930e-01	 8.1394851e-01	-1.3807924e-02	 9.5409490e-05	 2.5594703e-03
	 1.1484499e-01	 4.2003876e-01	 8.6065128e-01	-1.4392967e-02	 1.1978370e-04	 2.4604328e-03
	 1.1209423e-01	 4.2405787e-01	 8.6487831e-01	-1.4549182e-02	 3.5538551e-04	 2.4980637e-03
	 1.1716879e-01	 4.3427783e-01	 9.2580395e-01	-1.5410677e-02	 4.3719951e-04	 2.7013604e-03
	 1.1204521e-01	 4.5994831e-01	 9.4247004e-01	-1.5741605e-02	 5.6297076e-04	 2.6017501e-03
	 1.2373243e-01	 4.4205902e-01	 9.6568229e-01	-1.5981898e-02	 3.0021869e-04	 2.6832956e-03
