	x	y	z	pitch	roll	yaw
	 0.0000000e+00	-1.6990355e-14	 0.0000000e+00	 6.1629758e-33	 0.0000000e+00	 0.0000000e+00
	 4.2412274e-02	-8.0833968e-02	-4.2564773e-03	 4.5074132e-05	 4.5347239e-04	 3.3433140e-04
	 4.1942885e-02	-3.5529101e-02	 2.2116329e-03	 4.3782761e-04	 2.2871777e-04	-2.3091824e-05
	 1.4443688e-02	 1.9325333e-02	 2.7784939e-02	 7.6904606e-04	 1.9326287e-04	-3.8390220e-04
	-5.9752404e-03	-3.7250491e-02	-6.6455631e-03	 9.2881495e-04	 1.8066827e-04	-7.9203233e-04
	-1.3998887e-02	 8.6990668e-03	 2.2836155e-02	 8.5520551e-04	 1.2603821e-04	-7.7182004e-04
	-1.9329066e-02	-2.3496147e-02	 2.2764994e-02	 8.9509317e-04	 4.7115151e-04	-8.7976494e-04
	-3.0891437e-02	 1.5017560e-02	 7.7896964e-02	 4.1550008e-04	 5.5928953e-04	-1.2011323e-03
	-3.7330764e-02	-2.6451837e-02	 3.6636977e-02	 1.0254304e-03	 4.0699750e-04	-1.2833037e-03
	-4.6503381e-02	 2.3101242e-02	 5.3167212e-02	 7.9248321e-04	 2.4728317e-04	-1.3459818e-03
	-4.0545408e-02	-9.3631270e-03	 2.6078754e-02	 1.3867609e-03	 2.3135203e-04	-1.2558424e-03
	-4.7613873e-02	 1.4655942e-02	 3.6894061e-02	 7.6609785e-04	 1.6951461e-04	-1.2884557e-03
	-4.1515219e-02	 1.7597318e-02	 3.1214447e-02	 1.0705676e-03	 2.0117161e-04	-1.3070892e-03
	-4.1296272e-02	 4.1016232e-03	 2.0364910e-02	 7.4910125e-04	 9.2754435e-05	-1.2077295e-03
	-4.6543638e-02	 2.4498136e-02	 1.3255515e-02	 6.9804719e-04	 9.2451022e-05	-1.3090525e-03
	-3.9493419e-02	 5.3268943e-02	 2.8579176e-02	 5.5123262e-04	-8.5995419e-05	-1.1158578e-03
	-4.0223797e-02	 3.1373338e-02	 1.2972807e-02	 6.6127747e-04	-2.1755640e-04	-1.2381210e-03
	-4.0249116e-02	 3.9051383e-02	 8.6532248e-03	 5.5245226e-04	-2.7061228e-04	-1.0626617e-03
	-4.1063469e-02	 2.4860952e-02	 3.9523661e-03	 7.6660565e-04	-1.6484635e-04	-1.1274367e-03
	-5.3808828e-02	 1.8626858e-02	 1.7531332e-02	 5.1631736e-04	-1.2680987e-04	-1.3498568e-03
	-6.0741547e-02	 3.1307331e-02	 2.6755609e-02	 1.3708767e-04	-2.6902221e-04	-1.3968503e-03
	-4.8319647e-02	-2.7289764e-03	-3.5282055e-02	 7.5330450e-04	-5.6472416e-04	-9.8049900e-04
	-5.4462026e-02	 5.6298233e-02	 1.1349598e-03	 8.2682453e-04	-3.2918484e-04	-1.2382899e-03
	-4.2433903e-02	-1.2756225e-02	-4.4575145e-02	 1.2695743e-03	-6.4903943e-04	-9.3755504e-04
	-5.1165371e-02	 6.0960509e-02	 3.8488300e-02	 3.8085091e-04	-2.7176279e-04	-1.1160828e-03
	-4.2687547e-02	 1.7043160e-02	 2.0973780e-02	 1.0171563e-03	-6.7425469e-04	-1.0174837e-03
	-5.6544618e-02	 2.8428031e-02	 4.7613169e-02	 2.5685865e-04	-5.1612900e-04	-1.0671218e-03
	-4.9849564e-02	 2.2597346e-02	 3.2632184e-03	 1.1619865e-03	-7.8975536e-04	-1.0846712e-03
	-6.5928945e-02	 1.0715546e-02	-4.2961310e-03	 7.8503702e-04	-4.7261250e-04	-1.2666514e-03
	-6.2207717e-02	 9.5726216e-02	 4.5913721e-02	 6.1940283e-04	-6.8172331e-04	-1.3564578e-03
	-6.9283562e-02	 2.0076016e-02	-1.3835510e-02	 8.7898315e-04	-9.5346835e-04	-1.3347783e-03
	-7.5658592e-02	 7.9595661e-02	 5.1000710e-02	-6.4921574e-06	-7.1528719e-04	-1.6757851e-03
	-7.4815622e-02	 6.1393082e-02	 2.3520214e-02	 3.2127109e-04	-7.1428254e-04	-1.7078214e-03
	-7.0620408e-02	 7.8976146e-02	-8.6722138e-04	 5.0253292e-04	-5.9753169e-04	-1.7433891e-03
	-6.1541233e-02	 6.9389409e-02	-3.8196930e-03	 7.7867976e-04	-6.9944549e-04	-1.7157756e-03
	-4.4442170e-02	 7.8445086e-02	-5.5769645e-02	 1.5197018e-03	-6.9685539e-04	-1.4838788e-03
	-3.0306936e-02	 7.7502887e-02	-1.9861153e-01	 3.1941076e-03	-7.8461142e-04	-1.2225794e-03
	-2.0063693e-02	 7.8393969e-02	-2.8007843e-01	 4.4409217e-03	-6.0630581e-04	-1.1817811e-03
	 4.8204947e-03	 5.0495622e-02	-3.3929065e-01	 6.2061555e-03	-9.1773079e-04	-7.4767642e-04
	-2.3692282e-03	 6.5124545e-02	-3.1066479e-01	 5.4191317e-03	-8.3801598e-04	-8.1819784e-04
	-6.1871232e-03	 6.4920845e-02	-3.2270048e-01	 5.4735920e-03	-1.0099321e-03	-8.7101582e-04
	-1.5316916e-02	 8.3917563e-02	-2.3684960e-01	 3.9746938e-03	-9.4857524e-04	-9.6934696e-04
	-1.3980336e-02	 8.8862841e-02	-2.0928071e-01	 3.8623967e-03	-1.1383083e-03	-8.9036662e-04
	-2.7264873e-02	 4.7593109e-02	-2.4919572e-01	 3.8173756e-03	-1.1776985e-03	-7.5497977e-04
	-3.8269353e-02	 1.1207162e-01	-1.7372198e-01	 3.3785710e-03	-1.4770276e-03	-8.9655106e-04
	-4.5861334e-02	 4.7497340e-02	-2.2955034e-01	 3.3800563e-03	-1.6752123e-03	-8.6324650e-04
	-5.9434919e-02	 8.4481864e-02	-1.6458112e-01	 2.7536474e-03	-1.7515832e-03	-1.0763159e-03
	-5.4647633e-02	 4.8288447e-02	-2.1171901e-01	 3.1462705e-03	-1.8754571e-03	-1.0275583e-03
	-4.8525970e-02	 1.0645863e-01	-1.5608443e-01	 2.4273210e-03	-1.9079338e-03	-9.4138425e-04
	-5.9602684e-02	 4.8492645e-02	-2.0456434e-01	 2.7357659e-03	-1.9113652e-03	-1.1600770e-03
	-6.5063573e-02	 7.7277766e-02	-1.7906319e-01	 2.2321868e-03	-2.0130808e-03	-1.2280377e-03
	-5.5476439e-02	 4.8924745e-02	-2.1154467e-01	 2.5852804e-03	-1.9070263e-03	-1.2995128e-03
	-4.4233568e-02	 4.6631852e-02	-2.4644610e-01	 2.8671711e-03	-1.7084138e-03	-1.2376675e-03
	-1.2665766e-03	 9.9258281e-02	-2.7452192e-01	 3.8759052e-03	-1.4378270e-03	-9.0161606e-04
	 1.3348444e-02	 6.4186596e-02	-3.5017686e-01	 4.9384110e-03	-1.4020286e-03	-6.9353682e-04
	 7.0289853e-03	 6.9273850e-02	-3.9802858e-01	 5.2462579e-03	-1.4627606e-03	-6.9819240e-04
	 1.9781781e-02	 8.6297352e-02	-3.9708898e-01	 5.0494177e-03	-1.5846358e-03	-6.0946783e-04
	 3.5433906e-02	 6.2053246e-02	-4.4977536e-01	 5.7679792e-03	-1.7872444e-03	-4.0340762e-04
	 3.4573887e-02	 3.7046813e-02	-5.5879028e-01	 6.5955839e-03	-2.0358504e-03	-2.4472123e-04
	 4.4739306e-02	 6.0497672e-02	-5.6611590e-01	 7.4473049e-03	-2.1905186e-03	-5.7334461e-05
	 3.7992850e-02	 3.7847197e-02	-6.3221082e-01	 7.7922946e-03	-2.4516449e-03	 3.9206363e-05
	 1.2876060e-02	 7.7779225e-02	-5.5787797e-01	 7.2149497e-03	-2.5189252e-03	-1.8114037e-04
	-4.0475943e-02	 2.2627908e-02	-5.3599493e-01	 6.0315797e-03	-2.4387626e-03	-7.6338487e-04
	-4.3814588e-02	 1.1387573e-01	-4.3549476e-01	 5.5139766e-03	-2.6053649e-03	-7.4144227e-04
	-3.9873004e-02	 1.5717286e-02	-4.7804968e-01	 5.8279506e-03	-2.8422483e-03	-4.0759653e-04
	-4.6431618e-02	 1.0750074e-01	-4.0616760e-01	 5.3812083e-03	-2.6079832e-03	-6.7422306e-04
	-5.5967980e-02	 2.3304408e-02	-4.7249121e-01	 5.8101916e-03	-2.7546745e-03	-6.3483456e-04
	-5.7923189e-02	 9.8793270e-02	-4.4113236e-01	 5.4830817e-03	-2.6174160e-03	-6.7597462e-04
	-5.9832495e-02	 6.1457299e-02	-4.6517782e-01	 5.9646796e-03	-3.1132986e-03	-5.8978333e-04
	-7.3269864e-02	 9.1066067e-02	-4.2445333e-01	 4.8953357e-03	-2.8208505e-03	-8.3745300e-04
	-5.7164915e-02	 7.6857474e-02	-4.7041256e-01	 6.0418508e-03	-2.9088589e-03	-6.8787601e-04
	-3.9907761e-02	 9.5863178e-02	-5.4718311e-01	 6.7310636e-03	-2.3403784e-03	-6.6488502e-04
	-3.0988141e-02	 8.5810143e-02	-6.2964801e-01	 7.5790380e-03	-2.1452085e-03	-7.5196434e-04
	-2.3317648e-02	 3.5659069e-02	-7.7410073e-01	 8.6428454e-03	-2.0395268e-03	-5.9745515e-04
	-2.7839965e-02	 6.8460136e-02	-8.8621440e-01	 1.0259294e-02	-2.4498858e-03	-7.3343473e-04
	-2.0732889e-02	 3.4107236e-02	-9.9180091e-01	 1.1382803e-02	-2.6167478e-03	-6.1557275e-04
	-1.2209280e-02	 1.2652209e-02	-1.1046487e+00	 1.2571425e-02	-2.8088623e-03	-5.6759121e-04
	-3.1058197e-03	 4.8873568e-02	-1.1344191e+00	 1.2894345e-02	-2.9235456e-03	-2.8254918e-04
	 4.7397264e-03	 5.1353546e-02	-1.0938987e+00	 1.3300672e-02	-2.8808124e-03	-2.0936697e-04
	 1.3730254e-02	 5.8912031e-02	-1.1672154e+00	 1.3562867e-02	-2.8321854e-03	-9.0027607e-05
	 7.6392172e-03	 4.6281447e-02	-1.1747576e+00	 1.3663202e-02	-3.0268204e-03	-7.1790804e-05
	-2.0907208e-03	 2.3312814e-02	-1.0912872e+00	 1.2686399e-02	-2.5733847e-03	 7.3531320e-05
	 3.2542194e-03	 8.0336355e-02	-1.0357821e+00	 1.2311135e-02	-2.6868732e-03	 1.5251503e-04
	-1.5648114e-02	 3.8244888e-02	-9.6100529e-01	 1.1534300e-02	-2.8006776e-03	-5.6123309e-05
	-1.7705874e-02	 8.1523724e-02	-9.2434465e-01	 1.1497998e-02	-2.8335086e-03	-4.1071800e-05
	-2.1824379e-02	 1.0245481e-01	-8.9013109e-01	 1.1150691e-02	-2.5744750e-03	-3.0889768e-04
	-1.9105007e-02	 6.1505312e-02	-8.9881434e-01	 1.0753246e-02	-2.6299430e-03	-2.4027069e-04
	-4.6722319e-02	 1.1338686e-01	-8.0864520e-01	 9.6198930e-03	-2.9311338e-03	-5.1804599e-04
	-3.9507109e-02	 9.0733219e-02	-8.7093719e-01	 1.0356742e-02	-3.3443143e-03	-3.3673636e-04
	-6.4328951e-02	 9.6270333e-02	-9.1267807e-01	 1.0202061e-02	-3.5569595e-03	-8.5913650e-04
	-6.3660466e-02	 1.0687024e-01	-9.2228624e-01	 1.0120632e-02	-3.3980859e-03	-9.4079235e-04
	-4.3766104e-02	 8.4280991e-02	-9.7208967e-01	 1.0681914e-02	-3.2452535e-03	-7.5700695e-04
	-3.2457305e-02	 5.6631144e-02	-1.0310001e+00	 1.1108900e-02	-3.1440263e-03	-6.1568384e-04
	-1.3375463e-02	 1.0490579e-01	-1.0331182e+00	 1.1822400e-02	-3.3060841e-03	-5.4553418e-04
	-1.7724677e-02	 3.2303388e-02	-1.1275465e+00	 1.2469292e-02	-3.3819907e-03	-2.3442622e-04
	-1.8482440e-02	 7.1895065e-02	-1.1174431e+00	 1.2363717e-02	-3.2950127e-03	-1.6586250e-04
	-1.8141987e-02	 3.8944071e-02	-1.1611696e+00	 1.2809977e-02	-3.1665893e-03	-6.5548878e-05
	-1.7779724e-02	 4.2596941e-02	-1.2375524e+00	 1.3247592e-02	-3.1333532e-03	-1.8286899e-05
	-5.5902739e-03	 7.6524650e-02	-1.2646369e+00	 1.4775943e-02	-3.0060202e-03	 8.3373911e-06
	-1.1173959e-02	 6.8554737e-02	-1.3181815e+00	 1.5245864e-02	-2.8082900e-03	-1.0810590e-04
	-1.0827721e-02	 6.5892328e-02	-1.2890874e+00	 1.4593174e-02	-2.8187263e-03	-2.2559264e-04
	-1.6515553e-02	 9.4340432e-02	-1.1783404e+00	 1.4019879e-02	-2.6590180e-03	-1.6085786e-04
	-1.4607111e-02	 4.8767423e-02	-1.1544021e+00	 1.4045767e-02	-2.6784785e-03	 1.5320362e-04
	-2.3003191e-02	 1.2250673e-01	-1.1412926e+00	 1.3887741e-02	-2.7463285e-03	 1.1091967e-05
	-7.0492728e-03	 6.0299018e-02	-1.1137031e+00	 1.4218234e-02	-2.8641872e-03	 5.9593865e-04
	-3.0591661e-02	 1.2569346e-01	-1.0312411e+00	 1.2811721e-02	-2.7588000e-03	 9.7164476e-05
	-1.3163157e-02	 9.6177713e-02	-1.0790647e+00	 1.3789956e-02	-2.7966560e-03	 3.6764407e-04
	-1.9573954e-02	 9.5069856e-02	-1.0779926e+00	 1.3248207e-02	-2.7698897e-03	 3.4611779e-04
	-1.4324250e-02	 1.0476536e-01	-1.1026287e+00	 1.3821215e-02	-2.9583251e-03	 3.8998105e-04
	-2.2885811e-02	 9.4293504e-02	-1.1108299e+00	 1.3258307e-02	-3.0635861e-03	 2.8378781e-04
	-3.4553829e-02	 9.9637321e-02	-1.1149896e+00	 1.3402580e-02	-3.3817536e-03	 5.1889746e-05
	-2.4348119e-02	 7.3578294e-02	-1.1675433e+00	 1.3618085e-02	-3.1899203e-03	 1.6900480e-04
	-8.7315734e-03	 1.0132973e-01	-1.2123872e+00	 1.4704895e-02	-3.0512217e-03	 4.1158026e-04
	-4.6496223e-03	 8.0501440e-02	-1.2507949e+00	 1.4888873e-02	-3.0278000e-03	 6.1768085e-04
	 8.2035952e-03	 1.1085823e-01	-1.2369879e+00	 1.5018945e-02	-3.0072651e-03	 6.9718848e-04
	 1.1076265e-02	 8.1564076e-02	-1.2451023e+00	 1.4954340e-02	-2.8847364e-03	 7.4150209e-04
	 9.4210759e-03	 8.7349884e-02	-1.2048090e+00	 1.4782171e-02	-2.9122955e-03	 7.6499133e-04
	 1.4725963e-02	 8.0617757e-02	-1.2363944e+00	 1.5235049e-02	-2.7539838e-03	 8.3119604e-04
	 1.4008452e-02	 3.9797902e-02	-1.2713697e+00	 1.5399076e-02	-2.9386302e-03	 8.0837905e-04
	 2.0651619e-02	 8.7577277e-02	-1.2681759e+00	 1.5346965e-02	-2.8534730e-03	 8.5844747e-04
	 1.0360692e-03	 5.7057384e-02	-1.2088189e+00	 1.4524971e-02	-2.9393487e-03	 6.7364017e-04
	-3.6540090e-03	 1.0299518e-01	-1.1389032e+00	 1.3866072e-02	-3.0204596e-03	 6.6195884e-04
	-6.0145364e-03	 1.3059751e-01	-1.1363372e+00	 1.4487345e-02	-3.0853497e-03	 6.5795559e-04
	-1.1798310e-02	 7.7594052e-02	-1.1560074e+00	 1.4400741e-02	-3.0525784e-03	 7.2391540e-04
	-2.7455432e-03	 1.3936331e-01	-1.1346295e+00	 1.4262947e-02	-3.2352073e-03	 8.6078167e-04
	-1.5521124e-03	 1.0674992e-01	-1.1481668e+00	 1.4326781e-02	-3.1886054e-03	 8.7670474e-04
	 4.6280610e-03	 1.3990051e-01	-1.1188592e+00	 1.3867794e-02	-3.5114243e-03	 1.1340358e-03
	 4.7860255e-03	 9.0339942e-02	-1.1385990e+00	 1.3853071e-02	-3.4573645e-03	 1.2635568e-03
	-4.7011244e-03	 1.1964692e-01	-1.1254280e+00	 1.3825017e-02	-3.2391080e-03	 9.2989545e-04
	-2.4621761e-03	 1.6605538e-01	-1.0610973e+00	 1.3233526e-02	-3.2303281e-03	 9.2936657e-04
	 4.1111287e-03	 1.2331291e-01	-1.0644572e+00	 1.3093475e-02	-2.8425144e-03	 8.5098629e-04
	-2.7554419e-03	 1.4097452e-01	-1.1429443e+00	 1.4294159e-02	-2.6065228e-03	 6.9283843e-04
	 2.5234623e-03	 8.1539228e-02	-1.1838298e+00	 1.4917298e-02	-2.6536866e-03	 7.6879397e-04
	-7.2110842e-03	 1.3207184e-01	-1.2075779e+00	 1.4976925e-02	-2.6955541e-03	 6.4751462e-04
	 3.5238831e-03	 9.4248027e-02	-1.2166873e+00	 1.5493126e-02	-2.5649490e-03	 7.7764518e-04
	 3.0386826e-03	 1.1502999e-01	-1.1968454e+00	 1.4765662e-02	-2.8699515e-03	 8.0304769e-04
	 4.5634948e-03	 1.0547843e-01	-1.2348506e+00	 1.5201227e-02	-2.7288793e-03	 8.9505472e-04
	 3.5079222e-03	 9.1539061e-02	-1.2793915e+00	 1.5603726e-02	-2.8505125e-03	 9.4573049e-04
	 5.2833445e-03	 1.1446293e-01	-1.3418497e+00	 1.6669278e-02	-3.0850173e-03	 1.0598962e-03
	 4.8147695e-03	 1.2749230e-01	-1.3421048e+00	 1.6774085e-02	-3.3776673e-03	 1.0103942e-03
	 1.3085465e-02	 9.3408584e-02	-1.3398808e+00	 1.7011017e-02	-3.1473204e-03	 1.3166849e-03
	 7.5701799e-03	 1.3397709e-01	-1.2826186e+00	 1.6156230e-02	-3.2256980e-03	 1.2820839e-03
	 6.0000448e-03	 1.2573136e-01	-1.2288076e+00	 1.5808706e-02	-3.5396352e-03	 1.2861566e-03
	-1.5662284e-02	 1.2616485e-01	-1.2718209e+00	 1.5611947e-02	-3.5820772e-03	 1.0660995e-03
	-1.7363072e-02	 1.5437037e-01	-1.2296790e+00	 1.5607430e-02	-3.7558113e-03	 9.6955661e-04
	-1.7667534e-02	 1.4177803e-01	-1.2512582e+00	 1.5344984e-02	-3.5139421e-03	 1.0092382e-03
	-1.1725720e-02	 1.8201752e-01	-1.2420671e+00	 1.5333854e-02	-3.6745157e-03	 1.0762339e-03
	-2.0376787e-02	 1.2779575e-01	-1.2713979e+00	 1.5139192e-02	-3.6045797e-03	 9.1500716e-04
	-1.7056481e-02	 2.1267987e-01	-1.2050483e+00	 1.4525789e-02	-3.6187471e-03	 8.3664538e-04
	-1.6696255e-02	 1.1563142e-01	-1.2383258e+00	 1.4650757e-02	-3.7799449e-03	 1.0929274e-03
	-2.4392122e-02	 1.5985838e-01	-1.2277495e+00	 1.4580323e-02	-3.7791932e-03	 9.8138861e-04
	-2.6372450e-02	 1.4178613e-01	-1.2810904e+00	 1.5255357e-02	-3.4660559e-03	 8.9844764e-04
