	x	y	z	pitch	roll	yaw
	 0.0000000e+00	 0.0000000e+00	-3.5527137e-15	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00
	 2.3177052e-02	-3.7259115e-02	-3.2893843e-02	 5.4678149e-04	-1.0479481e-04	 1.5686629e-04
	 1.7819075e-02	 5.3715063e-02	-3.2646798e-03	 2.3287264e-04	-1.9518407e-04	-7.7537957e-05
	 1.0653762e-02	 5.7043916e-02	 6.0554281e-03	-6.3927895e-05	-4.3253220e-04	-2.9324932e-04
	-1.2426199e-02	-6.6794065e-02	 3.4397763e-02	-5.8665572e-04	-9.6431724e-04	-8.9151583e-04
	 5.4646096e-03	 1.1253971e-01	 2.1962762e-01	-4.2776902e-03	-1.0351121e-03	-6.2239332e-04
	 2.1870347e-02	 9.9703534e-02	 2.5648942e-01	-4.4851475e-03	-1.3342173e-03	-5.5107352e-04
	 1.7126526e-03	 1.2109082e-01	 2.0055720e-01	-3.3838768e-03	-8.7619316e-04	-6.0633624e-04
	-9.2204656e-03	-1.2682929e-02	 1.1151663e-01	-2.3940483e-03	-1.0748322e-03	-7.0527782e-04
	-1.4751223e-02	-3.2614352e-02	 6.1921797e-02	-1.3681426e-03	-8.2551590e-04	-6.3766842e-04
	 3.2960915e-03	 6.0662612e-02	 1.0120032e-01	-2.0208741e-03	-8.1110727e-04	-4.3946232e-04
	-6.8666786e-03	-5.6819634e-03	 3.7864838e-02	-1.0641131e-03	-8.1523440e-04	-5.7463515e-04
	 5.8220930e-03	 1.9753206e-02	 7.1754449e-02	-1.1665172e-03	-9.1489025e-04	-3.6496644e-04
	-1.3105400e-02	 2.5569945e-02	 3.6511252e-02	-6.5403425e-04	-9.1786384e-04	-6.0251698e-04
	-2.1673599e-02	-2.0930173e-02	 1.8160577e-03	-1.0479495e-04	-1.1477468e-03	-7.7562837e-04
	-4.4764667e-02	 1.2516853e-03	-2.1654769e-02	 2.7287843e-04	-1.1975426e-03	-1.1211629e-03
	-4.9328706e-02	-3.6740570e-02	-2.7571876e-02	 6.3939041e-04	-1.5555971e-03	-1.2420092e-03
	-6.6361849e-02	-3.1902496e-02	-6.7610266e-02	 1.1763761e-03	-1.6375258e-03	-1.3583395e-03
	-6.1440608e-02	-3.4497100e-02	-7.5696873e-02	 1.3499571e-03	-2.0302538e-03	-1.3052635e-03
	-8.3409010e-02	-3.8408449e-02	-1.2782409e-01	 2.0068097e-03	-2.2451450e-03	-1.5640859e-03
	-1.0598433e-01	-1.1926329e-01	-1.7118337e-01	 2.5797860e-03	-2.1638088e-03	-1.6918469e-03
	-1.3372737e-01	-8.4161135e-02	-2.1084742e-01	 3.1728313e-03	-2.5429153e-03	-2.2110180e-03
	-1.0848679e-01	-9.3144668e-02	-1.8058282e-01	 2.5514429e-03	-2.5452604e-03	-2.0347856e-03
	-7.3170392e-02	-9.9931641e-02	-1.9575511e-01	 2.0183428e-03	-2.5859381e-03	-1.1069217e-03
	 1.4422216e-02	 2.6313697e-03	-1.7098391e-01	 2.0973497e-03	-2.4255700e-03	-1.6984460e-04
	-2.7610476e-02	 3.5999758e-02	-1.5597629e-01	 2.1140258e-03	-2.9000646e-03	-8.0547047e-04
	-9.8311633e-02	-3.8257672e-02	-2.9172079e-01	 3.2750632e-03	-3.5567447e-03	-1.6765308e-03
	-9.8824604e-02	-1.4469052e-01	-4.0564762e-01	 4.5690915e-03	-3.6961874e-03	-1.5580743e-03
	-1.1218415e-01	-3.6772844e-02	-3.8017269e-01	 4.3424001e-03	-3.8718507e-03	-1.9192383e-03
	-1.1846832e-01	-3.4688672e-02	-3.5031812e-01	 4.0027720e-03	-4.0931999e-03	-2.1002656e-03
	-1.2304449e-01	-6.1679733e-02	-3.7142616e-01	 4.1340662e-03	-4.1209485e-03	-2.2210194e-03
	-1.3317215e-01	-4.5749312e-02	-3.5593249e-01	 4.2275323e-03	-4.0574643e-03	-2.2410143e-03
	-1.6877442e-01	-6.3825487e-02	-3.5838174e-01	 4.1883588e-03	-4.0424707e-03	-2.4880633e-03
	-2.0490470e-01	-5.4166371e-02	-3.7911524e-01	 4.4923278e-03	-4.0279636e-03	-2.9270519e-03
	-2.1130025e-01	-2.4232405e-02	-4.1206192e-01	 4.8423211e-03	-4.0890631e-03	-3.0667289e-03
	-2.3984243e-01	-1.4013563e-01	-4.8562367e-01	 5.9635522e-03	-4.3505146e-03	-3.4656101e-03
	-2.4910149e-01	-6.9430038e-02	-4.3406639e-01	 5.7557652e-03	-4.1932772e-03	-3.6878874e-03
	-2.5490869e-01	-1.2956944e-01	-4.6980291e-01	 6.0873527e-03	-4.2665546e-03	-3.5861463e-03
	-2.7270563e-01	-1.0487547e-01	-4.5877339e-01	 6.0772828e-03	-4.6112627e-03	-3.8796909e-03
	-2.9061086e-01	-1.4036805e-01	-4.8566082e-01	 6.4459545e-03	-4.5441914e-03	-4.0428777e-03
	-2.9597914e-01	-8.3872218e-02	-4.7649199e-01	 6.3897680e-03	-4.7042185e-03	-4.1612917e-03
	-3.1284317e-01	-1.6024128e-01	-5.2634706e-01	 6.4755166e-03	-4.9139067e-03	-4.4371139e-03
	-3.0331943e-01	-9.5490642e-02	-5.0904214e-01	 6.0888966e-03	-4.7591620e-03	-4.4737885e-03
	-2.8004424e-01	-1.4876550e-01	-5.2438324e-01	 6.0524769e-03	-4.9918008e-03	-4.3792205e-03
	-2.6825715e-01	-8.6683473e-02	-4.7969195e-01	 5.4790440e-03	-5.2979536e-03	-4.5048162e-03
	-2.6297630e-01	-5.5814712e-03	-4.3502073e-01	 5.0387831e-03	-5.2789310e-03	-4.3672631e-03
	-2.5528854e-01	 1.7203218e-02	-3.4713043e-01	 4.5756320e-03	-5.3043918e-03	-4.2238853e-03
	-2.8109456e-01	-1.6916287e-01	-5.2240374e-01	 5.6961980e-03	-5.4407528e-03	-4.5308145e-03
	-2.7827276e-01	-1.1628158e-01	-5.2047201e-01	 5.7164131e-03	-5.6699602e-03	-4.7068628e-03
	-2.6155110e-01	-5.9356066e-02	-5.0490127e-01	 5.6253622e-03	-5.5558724e-03	-4.5066062e-03
	-2.5902094e-01	-8.5054344e-02	-4.7624918e-01	 5.0919411e-03	-5.9496008e-03	-4.5659816e-03
	-2.6038584e-01	-1.8167177e-02	-4.3144133e-01	 4.6340522e-03	-5.9742343e-03	-4.7009128e-03
	-2.6256250e-01	-2.2577945e-02	-4.2546938e-01	 4.5665829e-03	-6.0622141e-03	-4.6503691e-03
	-2.7327245e-01	-7.5910601e-02	-4.6885191e-01	 5.2296290e-03	-6.2156167e-03	-4.8248259e-03
	-2.7815101e-01	-1.7599332e-02	-4.7334601e-01	 5.2081679e-03	-6.2387612e-03	-4.9217666e-03
	-2.9360751e-01	-8.4077055e-02	-5.1624323e-01	 5.9254783e-03	-6.1511938e-03	-5.0373154e-03
	-2.8554696e-01	-4.2896286e-02	-4.9139576e-01	 5.8688275e-03	-6.1903665e-03	-4.8417056e-03
	-2.8080478e-01	-6.7412954e-02	-4.9523235e-01	 5.9987652e-03	-6.0611449e-03	-4.9020532e-03
	-3.1634790e-01	-8.3668383e-02	-5.4250440e-01	 6.4688700e-03	-6.0486660e-03	-5.1169958e-03
	-3.0838431e-01	-6.4276800e-02	-5.2041540e-01	 6.2097606e-03	-5.9831666e-03	-5.0228018e-03
	-3.1251619e-01	-4.0088171e-02	-4.9347814e-01	 5.8059266e-03	-6.0837981e-03	-5.1287533e-03
