	x	y	z	pitch	roll	yaw
	 1.4539958e-14	 0.0000000e+00	 0.0000000e+00	-2.6727647e-51	 3.8518599e-34	 0.0000000e+00
	 7.4379670e-03	-7.2384849e-02	-5.9369946e-02	 9.6695266e-04	 4.9727198e-05	 2.2019528e-04
	-7.9529112e-03	-8.7542074e-03	-5.0426083e-03	 2.8750415e-04	 1.2549020e-05	-9.2292918e-05
	-3.7202261e-02	 1.1265724e-01	 1.7488522e-01	-2.7797839e-03	-4.7265765e-04	-9.0365294e-04
	-1.0079598e-01	 1.7257786e-01	 5.2993456e-01	-9.2371476e-03	-1.2336804e-03	-2.5246664e-03
	-1.8107691e-01	 3.1043690e-01	 7.3426350e-01	-1.1464583e-02	-1.6945314e-03	-4.1992007e-03
	-2.0964923e-01	 4.2138591e-01	 8.9491019e-01	-1.4066144e-02	-1.7738342e-03	-4.7243673e-03
	-2.1161893e-01	 2.7732435e-01	 8.0096485e-01	-1.3185367e-02	-1.8650331e-03	-4.6678416e-03
	-2.2549894e-01	 2.4275594e-01	 7.4275898e-01	-1.2174666e-02	-1.9139675e-03	-4.7594840e-03
	-2.4009600e-01	 3.1026305e-01	 7.9711377e-01	-1.2826100e-02	-1.7286988e-03	-4.8723253e-03
	-2.4777688e-01	 3.5054773e-01	 8.7642749e-01	-1.3576423e-02	-2.0129980e-03	-5.1428316e-03
	-2.4395054e-01	 2.3857464e-01	 7.6571568e-01	-1.2433606e-02	-1.9537741e-03	-4.8656448e-03
	-2.4851029e-01	 2.4924084e-01	 7.3853681e-01	-1.2088095e-02	-2.2035469e-03	-5.1202456e-03
	-2.7790505e-01	 3.1916939e-01	 7.6049315e-01	-1.2306898e-02	-2.5716443e-03	-5.5249126e-03
	-2.8939704e-01	 2.5947008e-01	 6.5931012e-01	-1.1417937e-02	-3.0055557e-03	-5.8000023e-03
	-3.1445540e-01	 2.7338588e-01	 6.5503542e-01	-1.1153943e-02	-3.2792207e-03	-6.3520887e-03
	-3.4287038e-01	 3.0567185e-01	 6.3202571e-01	-1.0988539e-02	-3.5817665e-03	-6.6701095e-03
	-3.5717288e-01	 2.3065040e-01	 5.8312612e-01	-1.0266115e-02	-3.9917363e-03	-6.8529090e-03
	-3.8755907e-01	 2.6772451e-01	 5.7460453e-01	-9.8001715e-03	-4.3389315e-03	-7.4899531e-03
	-4.1625238e-01	 2.7239119e-01	 5.1091603e-01	-8.8264678e-03	-4.4262956e-03	-7.8945211e-03
	-4.4310790e-01	 1.5924604e-01	 4.1809058e-01	-7.9428402e-03	-4.7477253e-03	-8.3811788e-03
	-4.5395135e-01	 2.2259600e-01	 4.4203488e-01	-8.3399725e-03	-4.7769405e-03	-8.6675051e-03
	-4.2707612e-01	 2.5416539e-01	 4.9411179e-01	-9.4030205e-03	-4.3077525e-03	-8.0905956e-03
	-3.7968143e-01	 4.5446100e-01	 8.1995520e-01	-1.3443630e-02	-3.5732830e-03	-7.2085227e-03
	-3.3954061e-01	 4.5314308e-01	 9.4825045e-01	-1.3342162e-02	-3.7254244e-03	-6.9995127e-03
	-3.0207327e-01	 3.1391872e-01	 8.0815109e-01	-1.2341507e-02	-4.1725987e-03	-6.7266803e-03
	-3.2337048e-01	 2.3532432e-01	 7.2466416e-01	-1.1781577e-02	-4.0377536e-03	-6.9053826e-03
	-3.3691725e-01	 3.6731439e-01	 8.0577144e-01	-1.2989649e-02	-4.1336495e-03	-7.2134784e-03
	-3.2670042e-01	 4.3107257e-01	 9.4283548e-01	-1.4589038e-02	-4.3170569e-03	-7.1785466e-03
	-3.1514275e-01	 4.2665491e-01	 9.6706282e-01	-1.5204641e-02	-4.5518529e-03	-7.0142999e-03
	-3.1274956e-01	 3.8807451e-01	 9.6586401e-01	-1.5122310e-02	-4.5636445e-03	-6.9705249e-03
	-3.1344024e-01	 4.5460519e-01	 9.8370167e-01	-1.5652181e-02	-4.6117826e-03	-6.9572045e-03
	-3.1492293e-01	 3.8843887e-01	 9.4156780e-01	-1.5288806e-02	-4.9164592e-03	-7.0360818e-03
	-3.3624106e-01	 4.4323675e-01	 9.2471100e-01	-1.5263945e-02	-5.1337426e-03	-7.4214718e-03
	-3.5955959e-01	 4.1542878e-01	 8.9258088e-01	-1.5009121e-02	-5.5943700e-03	-7.8454706e-03
	-3.8861303e-01	 4.0135012e-01	 8.8216185e-01	-1.4893758e-02	-5.5341398e-03	-8.3214328e-03
	-3.9464500e-01	 4.4708735e-01	 9.1280885e-01	-1.5221962e-02	-5.5584005e-03	-8.3168138e-03
	-4.1117341e-01	 3.8706820e-01	 8.7505260e-01	-1.4929396e-02	-5.5359259e-03	-8.5479130e-03
	-4.3098126e-01	 4.3224196e-01	 8.6104184e-01	-1.4789838e-02	-5.6915429e-03	-8.8669965e-03
	-4.5292592e-01	 4.0479316e-01	 8.3658156e-01	-1.4578777e-02	-5.9249836e-03	-9.0534129e-03
	-4.6243654e-01	 4.1453629e-01	 8.1639234e-01	-1.4306909e-02	-6.1818350e-03	-9.3893987e-03
