	x	y	z	pitch	roll	yaw
	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00	 0.0000000e+00
	-5.3512333e-04	 4.2472663e-02	 6.4348764e-02	-6.4489194e-04	-4.8727707e-05	 1.3001799e-05
	-3.9324893e-03	-4.5051690e-04	 9.5198088e-02	-8.9311660e-04	 6.6661243e-05	-6.6060764e-05
	-1.8816381e-02	 3.8532004e-02	 1.1985203e-01	-1.5150751e-03	 3.2759425e-04	-1.6540514e-04
	-2.9337308e-02	 1.7592395e-02	 1.0707377e-01	-1.5588900e-03	 6.0931721e-04	-2.4236479e-04
	-2.8768367e-02	 1.8921040e-02	 1.2079843e-01	-1.7542613e-03	 5.2597087e-04	-2.6504859e-04
	-9.8086082e-03	 4.1932673e-02	 1.1796844e-01	-1.7288729e-03	 7.3392601e-04	-1.8037795e-04
	-1.2344597e-02	 5.3712162e-03	 1.1448228e-01	-1.8418304e-03	 5.7983851e-04	-1.5983742e-04
	-1.8457065e-02	 1.8418676e-02	 1.1621352e-01	-1.7029436e-03	 6.5091526e-04	-2.7171967e-04
	-2.0369303e-02	 1.2346990e-02	 1.3075137e-01	-2.0277949e-03	 8.6647881e-04	-1.6644019e-04
	-2.1645291e-02	 4.2470032e-02	 1.7121307e-01	-2.3211401e-03	 8.4890390e-04	-2.4757426e-04
	-2.5609234e-02	 4.0526558e-02	 1.7220746e-01	-2.4820560e-03	 9.0505631e-04	-3.6056055e-04
	-3.0929025e-02	 4.5005165e-02	 1.7358643e-01	-2.5289271e-03	 9.0450748e-04	-4.4612268e-04
	-3.5793491e-02	 5.1173382e-02	 1.7997660e-01	-2.7991186e-03	 1.0972470e-03	-4.5987710e-04
	-3.4818272e-02	 5.1879777e-02	 1.7635696e-01	-2.6512246e-03	 1.2337883e-03	-3.9678582e-04
	-2.8721276e-02	 9.3628977e-02	 1.8360328e-01	-2.9787314e-03	 1.2772445e-03	-2.9378265e-04
	-3.0068403e-02	 4.8212451e-02	 1.7640324e-01	-2.9849281e-03	 1.3306185e-03	-2.8253208e-04
	-3.1380371e-02	 8.9497860e-02	 2.0554746e-01	-3.4154931e-03	 1.6156135e-03	-2.8218023e-04
	-1.7511981e-02	 4.0872217e-02	 1.8419006e-01	-3.0722457e-03	 1.7570535e-03	-1.6870755e-04
	-1.9132349e-02	 8.3703726e-02	 1.9824527e-01	-3.6601606e-03	 1.8537154e-03	-2.7072149e-04
	-1.0730532e-02	 5.1512686e-02	 1.8063809e-01	-3.4067632e-03	 1.8694332e-03	-1.2383454e-04
	-1.8428985e-02	 9.0471469e-02	 1.9655054e-01	-3.6382813e-03	 2.0375817e-03	-2.0743863e-04
	-5.8705612e-03	 4.7280976e-02	 2.0171476e-01	-3.4563881e-03	 1.6100311e-03	-2.8821466e-06
	 9.9097730e-05	 8.6604728e-02	 2.1380453e-01	-3.9222225e-03	 1.5920415e-03	-1.1432723e-04
	 9.1779869e-03	 7.2471380e-02	 1.8579017e-01	-3.5020884e-03	 1.5255174e-03	 8.8397503e-05
	 1.1547790e-02	 9.2848760e-02	 2.2042212e-01	-4.0609508e-03	 1.5022143e-03	 1.7896165e-04
	 1.3216512e-02	 1.0344946e-01	 2.1470440e-01	-3.9548259e-03	 1.5279726e-03	 2.2086773e-04
	 2.3868714e-02	 8.3235990e-02	 2.0876844e-01	-3.8480812e-03	 1.4697785e-03	 3.3190139e-04
	 1.6932457e-02	 1.1894943e-01	 2.0864142e-01	-4.0602716e-03	 1.5444950e-03	 2.4808634e-04
	 3.0814431e-02	 6.2876871e-02	 2.1496717e-01	-3.8940899e-03	 1.4924373e-03	 4.9664629e-04
	 2.4063600e-02	 1.1736034e-01	 2.3860690e-01	-4.4581861e-03	 1.5108275e-03	 4.0320844e-04
	 2.6140189e-02	 5.3365484e-02	 2.3318710e-01	-4.0549712e-03	 1.5776357e-03	 4.5920170e-04
	 2.3043550e-02	 1.1528932e-01	 2.4037003e-01	-4.3906781e-03	 1.7404056e-03	 3.8899899e-04
	 2.8449941e-02	 6.9337103e-02	 1.9171813e-01	-3.5366408e-03	 1.7231828e-03	 2.7016828e-04
	 9.9236367e-03	 1.2858926e-01	 2.0577751e-01	-3.7530051e-03	 2.0014370e-03	 1.2686288e-06
	 4.3645241e-03	 8.1187378e-02	 1.5648836e-01	-3.1137736e-03	 2.1343124e-03	-1.5875565e-04
	-1.8200568e-02	 1.2506311e-01	 1.5672349e-01	-3.8048093e-03	 2.0448637e-03	-5.0268540e-04
	-2.3064165e-02	 1.0833578e-01	 1.3581027e-01	-3.5531090e-03	 2.0469749e-03	-4.1946672e-04
	-2.0940725e-02	 6.9101420e-02	 1.4023226e-01	-3.1001983e-03	 2.2165575e-03	-3.6471899e-04
	-4.0975163e-02	 1.1074640e-01	 1.5518313e-01	-3.6338758e-03	 2.0588741e-03	-7.3366060e-04
	-4.5364989e-02	 7.3017612e-02	 1.5095554e-01	-3.4713511e-03	 2.2600307e-03	-7.9043827e-04
	-5.3232707e-02	 1.1938862e-01	 1.6981280e-01	-3.7299753e-03	 2.2679496e-03	-1.0162683e-03
	-3.5472030e-02	 7.2523959e-02	 1.9875293e-01	-3.8017009e-03	 2.1167174e-03	-6.2612931e-04
	-1.6852102e-02	 1.2367064e-01	 2.2115123e-01	-4.2000556e-03	 1.7826619e-03	-3.4916237e-04
	-6.7050663e-03	 9.9404432e-02	 2.0003997e-01	-3.9264502e-03	 1.7282433e-03	-9.8841459e-05
	 2.9690601e-03	 9.6701560e-02	 2.3828059e-01	-4.3221959e-03	 1.6933587e-03	 7.1823839e-05
	 3.0059128e-03	 1.0335116e-01	 2.2562471e-01	-3.9954298e-03	 1.6198590e-03	 8.3742270e-05
	 1.6948324e-02	 9.6557515e-02	 2.4012174e-01	-4.1721612e-03	 1.7041990e-03	 3.4620812e-04
	 1.0959509e-02	 1.5097773e-01	 2.4792572e-01	-4.4881709e-03	 1.7519520e-03	 2.7127733e-04
	 1.5735303e-02	 8.3149047e-02	 2.3966201e-01	-4.3158360e-03	 1.6767981e-03	 3.1696761e-04
	 6.2727807e-03	 1.5391065e-01	 2.5610970e-01	-4.6265008e-03	 1.7292321e-03	 1.9336070e-04
	 9.7534214e-03	 8.8980251e-02	 2.6040698e-01	-4.5825547e-03	 1.6854921e-03	 1.9179022e-04
	-9.2479860e-03	 1.6000566e-01	 2.9885972e-01	-5.2798037e-03	 1.7140567e-03	-2.5908013e-05
	-9.5685594e-03	 1.0744267e-01	 2.6939391e-01	-4.9130100e-03	 2.0795474e-03	-1.4845040e-05
	-1.7599120e-02	 1.7572050e-01	 2.4621506e-01	-4.9936683e-03	 2.2577350e-03	-1.8846315e-04
	-5.9742688e-03	 1.2468474e-01	 2.3229618e-01	-4.6493653e-03	 2.2716782e-03	-7.0186554e-05
	-9.7589608e-03	 1.5138873e-01	 2.6240346e-01	-5.0864248e-03	 2.2015884e-03	-5.3972608e-05
	-2.2383907e-03	 7.9777940e-02	 2.3599079e-01	-4.5184157e-03	 2.1726241e-03	-4.3591828e-05
	-2.2724504e-02	 1.3210074e-01	 2.2371167e-01	-4.6358049e-03	 2.2697481e-03	-3.1724383e-04
	-2.7339285e-02	 9.5230258e-02	 2.0466924e-01	-4.3106199e-03	 2.1825584e-03	-3.7095070e-04
	-4.4487539e-02	 1.1683835e-01	 2.0807253e-01	-4.4839062e-03	 2.2771140e-03	-6.0765165e-04
	-4.9383169e-02	 8.4832200e-02	 2.0565899e-01	-4.4248830e-03	 2.0846982e-03	-7.4185033e-04
	-4.8498768e-02	 1.2484279e-01	 2.1884933e-01	-4.5820795e-03	 2.0076080e-03	-6.2846327e-04
	-3.8390450e-02	 1.3174680e-01	 2.5139696e-01	-5.0293548e-03	 1.8149844e-03	-4.9224057e-04
	-3.2094649e-02	 1.1998210e-01	 2.4374045e-01	-4.8752537e-03	 1.9162505e-03	-4.3223405e-04
	-3.2453687e-02	 1.4527648e-01	 2.7060430e-01	-5.3182901e-03	 1.7781185e-03	-4.4073242e-04
	-3.1303301e-02	 1.0792890e-01	 2.5245648e-01	-4.9655506e-03	 2.0308137e-03	-3.0663082e-04
	-6.4860642e-02	 1.4275475e-01	 2.2225342e-01	-4.4478699e-03	 2.1190489e-03	-7.3161321e-04
	-9.8731179e-02	 1.1741674e-01	 1.7936527e-01	-3.0326726e-03	 1.9830237e-03	-8.7608900e-04
	-5.0189294e-02	 3.8577864e-02	 6.2041468e-02	-1.6679667e-03	 1.2634695e-03	-2.2075676e-04
	-3.3811236e-02	 8.4163432e-02	 1.9744841e-01	-4.1023419e-03	 1.3495150e-03	-3.4902011e-04
	-3.6946689e-02	 1.0854567e-01	 2.6848666e-01	-4.8639605e-03	 1.3494932e-03	-3.1281455e-04
	-6.0684980e-02	 1.1171826e-01	 2.7322328e-01	-4.8909324e-03	 1.8635380e-03	-6.4538659e-04
	-7.8419790e-02	 1.3968437e-01	 2.7630881e-01	-4.7674201e-03	 2.0672373e-03	-9.3763237e-04
	-9.1737633e-02	 1.4829844e-01	 2.8691626e-01	-4.9318649e-03	 2.4385921e-03	-1.1353861e-03
	-9.3697840e-02	 1.2056781e-01	 3.2138505e-01	-5.0924170e-03	 2.5858651e-03	-1.0871565e-03
	-8.9242369e-02	 1.2976229e-01	 3.1511301e-01	-5.2900037e-03	 2.7228273e-03	-1.1437693e-03
	-1.1270594e-01	 1.0963324e-01	 3.4572323e-01	-5.5151166e-03	 2.7785965e-03	-1.4741784e-03
	-1.3058189e-01	 1.1555114e-01	 3.1690758e-01	-5.3697483e-03	 3.1215992e-03	-1.8996019e-03
	-1.5443461e-01	 1.1980419e-01	 3.3313755e-01	-5.6644306e-03	 3.0102239e-03	-2.1486030e-03
	-1.5667485e-01	 1.1751136e-01	 2.8129066e-01	-5.1203750e-03	 3.4358621e-03	-2.2414220e-03
	-1.7983983e-01	 1.0183729e-01	 2.2484167e-01	-4.7841885e-03	 3.0574169e-03	-2.5660534e-03
	-1.0408020e-01	-9.5197171e-02	-4.9824409e-01	 5.5839497e-03	 3.1262401e-03	-2.0037112e-03
	-8.1440174e-02	 4.9924516e-02	-2.8237151e-01	 1.4412154e-03	 2.0081647e-03	-1.4022270e-03
	-1.2596909e-01	 3.7915259e-02	-4.9215941e-01	 6.2019471e-03	 2.1674322e-03	-1.9060386e-03
	-9.6688610e-02	 1.3200812e-01	-1.6752494e-01	 1.8947408e-04	 2.1710277e-03	-1.5306785e-03
	-8.8060408e-02	 8.1250258e-02	-5.9062191e-02	-2.5501440e-04	 2.7490099e-03	-1.3883443e-03
	-1.0250058e-01	 1.3916010e-01	-9.0745410e-02	-4.8636831e-04	 2.6908097e-03	-1.7553590e-03
	-1.2334735e-01	 8.7114962e-02	-6.2299354e-02	-6.8973323e-04	 2.8551796e-03	-1.9964587e-03
	-1.0966325e-01	 5.0615492e-02	-3.6498740e-01	 2.2840145e-03	 2.4604010e-03	-1.4471600e-03
	-6.8539064e-02	 1.5461121e-02	-3.1856983e-01	 1.2346221e-03	 1.8750058e-03	-1.1227565e-03
	-6.5036660e-02	 3.4866464e-02	-2.8016768e-01	 1.3615572e-03	 2.0102784e-03	-1.2731797e-03
	-9.7318712e-02	 9.1446404e-02	-1.3066255e-01	-1.9246411e-04	 2.4045646e-03	-1.6546245e-03
	-1.4239196e-01	 1.4701165e-01	-3.9946534e-02	-1.2518004e-03	 2.8391115e-03	-2.4822053e-03
